"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"0.1";"CAP0603-CAP";"0603-CAP";"C1, C4, C5";"Capacitor";"";
"1";"1";"FE08-1";"FE08";"CN5";"FEMALE HEADER";"";
"1";"1 uF";"CAP0805";"0805";"C7";"Capacitor";"";
"1";"100 K";"RESISTOR0805-RES";"0805";"R5";"Resistor";"";
"1";"10k";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";
"1";"10u";"CAP0805-CAP";"0805-CAP";"C3";"Capacitor";"";
"1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"X1";"Resonator";"";
"2";"1k5";"RESISTOR0603-RES";"0603-RES";"R2, R3";"Resistor";"";
"1";"1u";"CAP0603-CAP";"0603-CAP";"C2";"Capacitor";"";
"1";"2";"PINHD-1X18";"1X18";"CN6";"PIN HEADER";"";
"1";"2K";"RESISTOR0603-RES";"0603-RES";"R4";"Resistor";"";
"1";"4u7";"CAP0603-CAP";"0603-CAP";"C6";"Capacitor";"";
"1";"ATMega-328";"ATMEGA168/328TQFP32";"TQFP32-08";"U1";"Atmel 32-pin 8-bit micro, 16k flash.";"";
"1";"BATT";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"CN3";"JST 2-Pin Connectors of various flavors";"";
"1";"FTDI";"PINHD-1X6";"1X06";"CN4";"PIN HEADER";"";
"2";"LED0603";"LED0603";"0603-LED";"LED1, LED2";"";"";
"1";"MCP1703CB";"MCP1703CB";"SOT23";"U3";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U2";"Microchip's MCP73831";"";
"1";"MOSFET";"MOSFET-PCHANNELSMD";"SOT23-3";"Q1";"Generic PMOSFET";"";
"1";"RFM12B";"RFM12B_MINPADS";"RFM12B-MINPADS";"RF1";"";"";
"1";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"U$1";"";"";
"1";"RFM69";"RFM69";"RFM69W-MINPADS";"RF2";"";"";
"1";"SCHOTTKY";"DIODE-SCHOTTKY_";"SMA-DIODE";"D1";"Commonly MBRA140.";"";
"1";"USB";"USBMINIB";"USB-MINIB";"CN1";"USB Connectors";"";
